src,des,size,timestamp
172.16.1.15,110.76.15.34,116,1590028016.999484
110.76.15.34,172.16.1.15,152,1590028016.999755
172.16.1.15,110.76.15.34,96,1590028016.999845
172.16.1.15,110.76.15.34,496,1590028016.999934
110.76.15.34,172.16.1.15,148,1590028017.680000
172.16.1.15,203.119.213.140,108,1590028017.149000
110.76.15.34,172.16.1.15,1176,1590028017.229000
172.16.1.15,110.76.15.34,96,1590028017.345000
203.119.213.140,172.16.1.15,152,1590028017.445000
172.16.1.15,203.119.213.140,88,1590028017.616000
172.16.1.15,203.119.213.140,468,1590028017.720000
203.119.213.140,172.16.1.15,148,1590028017.797000
203.119.213.140,172.16.1.15,636,1590028017.124470
172.16.1.15,203.119.213.140,88,1590028017.124637
172.16.1.15,120.226.161.115,128,1590028017.125001
120.226.161.115,172.16.1.15,148,1590028017.125216
172.16.1.15,120.226.161.115,96,1590028017.125387
120.226.161.115,172.16.1.15,132,1590028017.125552
172.16.1.15,203.119.213.140,112,1590028017.126064
203.119.213.140,172.16.1.15,148,1590028017.126687
172.16.1.15,203.119.213.140,464,1590028017.127144
203.119.213.140,172.16.1.15,148,1590028017.127250
120.226.161.115,172.16.1.15,132,1590028017.127505
172.16.1.15,120.226.161.115,72,1590028017.128265
172.16.1.15,183.232.149.27,116,1590028017.128362
203.119.213.140,172.16.1.15,348,1590028017.128452
172.16.1.15,203.119.213.140,88,1590028017.128532
172.16.1.15,183.216.168.218,116,1590028017.128613
183.216.168.218,172.16.1.15,152,1590028017.128888
172.16.1.15,183.216.168.218,96,1590028017.129423
183.232.149.27,172.16.1.15,152,1590028017.131601
172.16.1.15,183.232.149.27,96,1590028017.131692
172.16.1.15,183.232.149.27,320,1590028017.180313
183.232.149.27,172.16.1.15,148,1590028017.180433
172.16.1.15,183.216.168.218,616,1590028017.181155
183.216.168.218,172.16.1.15,148,1590028017.182726
183.232.149.27,172.16.1.15,608,1590028017.182801
172.16.1.15,183.232.149.27,96,1590028017.183488
183.216.168.218,172.16.1.15,304,1590028017.183784
172.16.1.15,183.216.168.218,96,1590028017.184296
172.16.1.15,203.119.169.254,128,1590028017.184643
172.16.1.15,203.119.169.254,96,1590028017.185454
203.119.169.254,172.16.1.15,132,1590028017.185521
203.119.169.254,172.16.1.15,132,1590028017.185591
172.16.1.15,183.216.168.218,148,1590028017.185648
183.216.168.218,172.16.1.15,148,1590028017.185730
172.16.1.15,183.216.168.218,384,1590028017.185815
172.16.1.15,183.232.149.27,412,1590028017.224885
183.216.168.218,172.16.1.15,148,1590028017.225242
183.232.149.27,172.16.1.15,148,1590028017.225327
183.216.168.218,172.16.1.15,1312,1590028017.226203
183.216.168.218,172.16.1.15,148,1590028017.226450
172.16.1.15,183.216.168.218,96,1590028017.226522
172.16.1.15,183.216.168.218,128,1590028017.226614
172.16.1.15,183.216.168.218,96,1590028017.226675
183.216.168.218,172.16.1.15,132,1590028017.226731
172.16.1.15,183.216.168.218,72,1590028017.226802
203.119.169.254,172.16.1.15,132,1590028017.226870
172.16.1.15,203.119.169.254,72,1590028017.226929
183.232.149.27,172.16.1.15,1568,1590028017.321829
183.232.149.27,172.16.1.15,168,1590028017.325994
172.16.1.15,183.232.149.27,96,1590028017.329452
183.232.149.27,172.16.1.15,380,1590028017.333292
172.16.1.15,183.232.149.27,96,1590028017.339914
172.16.1.15,117.169.15.124,116,1590028017.352682
117.169.15.124,172.16.1.15,152,1590028017.361630
172.16.1.15,117.169.15.124,96,1590028017.367439
172.16.1.15,117.169.15.124,616,1590028017.370975
117.169.15.124,172.16.1.15,148,1590028017.373308
117.169.15.124,172.16.1.15,304,1590028017.375960
172.16.1.15,117.169.15.124,96,1590028017.379308
172.16.1.15,117.169.15.124,148,1590028017.383085
117.169.15.124,172.16.1.15,148,1590028017.386234
172.16.1.15,117.169.15.124,360,1590028017.396679
117.169.15.124,172.16.1.15,148,1590028017.402622
117.169.15.124,172.16.1.15,1568,1590028017.409275
117.169.15.124,172.16.1.15,180,1590028017.422651
172.16.1.15,117.169.15.124,96,1590028017.426861
117.169.15.124,172.16.1.15,1568,1590028017.429695
117.169.15.124,172.16.1.15,1568,1590028017.446180
172.16.1.15,117.169.15.124,96,1590028017.446304
117.169.15.124,172.16.1.15,1568,1590028017.446395
117.169.15.124,172.16.1.15,1568,1590028017.446449
172.16.1.15,117.169.15.124,96,1590028017.446665
117.169.15.124,172.16.1.15,1568,1590028017.446739
117.169.15.124,172.16.1.15,760,1590028017.446805
172.16.1.15,117.169.15.124,96,1590028017.446872
172.16.1.15,223.82.136.249,116,1590028017.446938
223.82.136.249,172.16.1.15,152,1590028017.446990
172.16.1.15,223.82.136.249,96,1590028017.447063
172.16.1.15,223.82.136.249,264,1590028017.447722
223.82.136.249,172.16.1.15,148,1590028017.447865
223.82.136.249,172.16.1.15,1568,1590028017.447996
172.16.1.15,223.82.136.249,96,1590028017.448073
223.82.136.249,172.16.1.15,180,1590028017.448188
172.16.1.15,223.82.136.249,96,1590028017.448296
223.82.136.249,172.16.1.15,1568,1590028017.448547
172.16.1.15,223.82.136.249,96,1590028017.459585
223.82.136.249,172.16.1.15,180,1590028017.472448
172.16.1.15,223.82.136.249,96,1590028017.472642
223.82.136.249,172.16.1.15,1568,1590028017.472959
172.16.1.15,223.82.136.249,96,1590028017.473093
223.82.136.249,172.16.1.15,376,1590028017.473516
